I_rad,T_out,H_air,T_air,I_rad,T_out,H_air,T_air
127.8117,39.2,27.7,46.2,85.5896,37.1,33.6,42
125.1806,40.4,28.5,46.4,72.0938,37.1,34.1,41.8
110.5975,37.9,27.6,46.2,49.4348,38.1,34.8,41.4
107.2028,38.4,29.1,45.8,27.6141,38.1,36.9,40.5
134.0865,38.9,28.3,46.3,16.019,35,38.9,39.4
139.7637,37.7,27.7,45.9,10.4746,35.4,41.4,38.1
136.2445,37.2,28.5,44.7,6.2748,34.5,46.4,36.8
130.3681,37.2,29.2,43.8,2.8054,33.9,50.2,35.9
124.2427,37.1,29.1,43.7,0.9545,33,54,35
119.7607,36.5,29.8,43.2,0.1743,32.8,57.1,34.1
107.5846,36.2,31.1,42.7,0.0249,32.5,58.8,33.4
93.2339,36.1,31.9,42.3,0,31.1,59.2,32.6
85.5896,37.1,33.6,42,0,31.4,62.7,32.3
72.0938,37.1,34.1,41.8,0,30.9,64.6,31.9
49.4348,38.1,34.8,41.4,0,31,66.9,31.4
27.6141,38.1,36.9,40.5,0,30.8,68.1,31.1
16.019,35,38.9,39.4,0,30.5,68.9,30.6
10.4746,35.4,41.4,38.1,0,29.8,71.2,30.3
6.2748,34.5,46.4,36.8,0,29.8,72.7,30
2.8054,33.9,50.2,35.9,0,29.4,73.3,29.7
